Week,Date Range,Meal,Dish Name,Quantity (kg)
Aug2023_week4,22/08/2023-28/08/2023,Dinner,Vegetable Curry,
Aug2023_week4,22/08/2023-28/08/2023,Dinner,Kadhi,
Aug2023_week5,29/08/2023-31/08/2023,Breakfast,Medu Vada,
Aug2023_week5,29/08/2023-31/08/2023,Breakfast,Pongal,
Aug2023_week5,29/08/2023-31/08/2023,Breakfast,Aloo Paratha,
Aug2023_week5,29/08/2023-31/08/2023,Lunch,Dal,
Aug2023_week5,29/08/2023-31/08/2023,Lunch,Paneer Curry,
Aug2023_week5,29/08/2023-31/08/2023,Lunch,Paneer Bhurji,
Aug2023_week5,29/08/2023-31/08/2023,Dinner,Paneer Butter Masala,
Aug2023_week5,29/08/2023-31/08/2023,Dinner,Mixed Veg,
Aug2023_week5,29/08/2023-31/08/2023,Dinner,Roti,
Sep2023_week1,01/09/2023-07/09/2023,Breakfast,Aloo Bhaji,
Sep2023_week1,01/09/2023-07/09/2023,Breakfast,Chutney,
Sep2023_week1,01/09/2023-07/09/2023,Breakfast,Upma,
Sep2023_week1,01/09/2023-07/09/2023,Lunch,Paneer Curry,
Sep2023_week1,01/09/2023-07/09/2023,Lunch,Dal,
Sep2023_week1,01/09/2023-07/09/2023,Lunch,Mixed Veg,
Sep2023_week1,01/09/2023-07/09/2023,Dinner,Paneer Butter Masala,
Sep2023_week1,01/09/2023-07/09/2023,Dinner,Vegetable Curry,
Sep2023_week1,01/09/2023-07/09/2023,Dinner,Chole,
Sep2023_week2,08/09/2023-14/09/2023,Breakfast,Puri,
Sep2023_week2,08/09/2023-14/09/2023,Breakfast,Sambar,
Sep2023_week2,08/09/2023-14/09/2023,Breakfast,Aloo Bhaji,
Sep2023_week2,08/09/2023-14/09/2023,Lunch,Dal Tadka,
Sep2023_week2,08/09/2023-14/09/2023,Lunch,Rajma,
Sep2023_week2,08/09/2023-14/09/2023,Lunch,Aloo Gobi,
Sep2023_week2,08/09/2023-14/09/2023,Dinner,Matar Mushroom,
Sep2023_week2,08/09/2023-14/09/2023,Dinner,Kadhi,
Sep2023_week2,08/09/2023-14/09/2023,Dinner,Shahi Paneer,
Sep2023_week3,15/09/2023-21/09/2023,Breakfast,Pongal,
Sep2023_week3,15/09/2023-21/09/2023,Breakfast,Sambar,
Sep2023_week3,15/09/2023-21/09/2023,Breakfast,Medu Vada,
Sep2023_week3,15/09/2023-21/09/2023,Lunch,Chana Masala,
Sep2023_week3,15/09/2023-21/09/2023,Lunch,Dal Tadka,
Sep2023_week3,15/09/2023-21/09/2023,Lunch,Paneer Masala,
Sep2023_week3,15/09/2023-21/09/2023,Dinner,Vegetable Curry,
Sep2023_week3,15/09/2023-21/09/2023,Dinner,Matar Mushroom,
Sep2023_week3,15/09/2023-21/09/2023,Dinner,Shahi Paneer,
Sep2023_week4,22/09/2023-28/09/2023,Breakfast,Curd,
Sep2023_week4,22/09/2023-28/09/2023,Breakfast,Aloo Paratha,
Sep2023_week4,22/09/2023-28/09/2023,Breakfast,Chutney,
Sep2023_week4,22/09/2023-28/09/2023,Lunch,Chole,
Sep2023_week4,22/09/2023-28/09/2023,Lunch,Aloo Gobi,
Sep2023_week4,22/09/2023-28/09/2023,Lunch,Dal Tadka,
Sep2023_week4,22/09/2023-28/09/2023,Dinner,Mixed Veg,
Sep2023_week4,22/09/2023-28/09/2023,Dinner,Paneer Butter Masala,
Sep2023_week4,22/09/2023-28/09/2023,Dinner,Kadhi,
Sep2023_week5,29/09/2023-30/09/2023,Breakfast,Coconut Chutney,
Sep2023_week5,29/09/2023-30/09/2023,Breakfast,Sambhar,
Sep2023_week5,29/09/2023-30/09/2023,Breakfast,Sambar,
Sep2023_week5,29/09/2023-30/09/2023,Lunch,Mixed Veg,
Sep2023_week5,29/09/2023-30/09/2023,Lunch,Chana Masala,
Sep2023_week5,29/09/2023-30/09/2023,Lunch,Chole,
Sep2023_week5,29/09/2023-30/09/2023,Dinner,Paneer Butter Masala,
Sep2023_week5,29/09/2023-30/09/2023,Dinner,Palak Paneer,
Sep2023_week5,29/09/2023-30/09/2023,Dinner,Matar Mushroom,
Oct2023_week1,01/10/2023-07/10/2023,Breakfast,Jalebi,
Oct2023_week1,01/10/2023-07/10/2023,Breakfast,Aloo Bhaji,
Oct2023_week1,01/10/2023-07/10/2023,Breakfast,Curd,
Oct2023_week1,01/10/2023-07/10/2023,Lunch,Chole,
Oct2023_week1,01/10/2023-07/10/2023,Lunch,Rajma,
Oct2023_week1,01/10/2023-07/10/2023,Lunch,Chana Masala,
Oct2023_week1,01/10/2023-07/10/2023,Dinner,Bhindi Fry,
Oct2023_week1,01/10/2023-07/10/2023,Dinner,Kadhi,
Oct2023_week1,01/10/2023-07/10/2023,Dinner,Roti,
Oct2023_week2,08/10/2023-14/10/2023,Breakfast,Pongal,
Oct2023_week2,08/10/2023-14/10/2023,Breakfast,Sambar,
Oct2023_week2,08/10/2023-14/10/2023,Breakfast,Sambhar,
Oct2023_week2,08/10/2023-14/10/2023,Lunch,Dal Tadka,
Oct2023_week2,08/10/2023-14/10/2023,Lunch,Paneer Bhurji,
Oct2023_week2,08/10/2023-14/10/2023,Lunch,Paneer Curry,
Oct2023_week2,08/10/2023-14/10/2023,Dinner,Palak Paneer,
Oct2023_week2,08/10/2023-14/10/2023,Dinner,Mixed Veg,
Oct2023_week2,08/10/2023-14/10/2023,Dinner,Vegetable Curry,
Oct2023_week3,15/10/2023-21/10/2023,Breakfast,Aloo Paratha,
Oct2023_week3,15/10/2023-21/10/2023,Breakfast,Upma,
Oct2023_week3,15/10/2023-21/10/2023,Breakfast,Dosa,
Oct2023_week3,15/10/2023-21/10/2023,Lunch,Dal Tadka,
Oct2023_week3,15/10/2023-21/10/2023,Lunch,Rajma,
Oct2023_week3,15/10/2023-21/10/2023,Lunch,Aloo Gobi,
Oct2023_week3,15/10/2023-21/10/2023,Dinner,Shahi Paneer,
Oct2023_week3,15/10/2023-21/10/2023,Dinner,Matar Mushroom,
Oct2023_week3,15/10/2023-21/10/2023,Dinner,Paneer Butter Masala,
Oct2023_week4,22/10/2023-28/10/2023,Breakfast,Idli,
Oct2023_week4,22/10/2023-28/10/2023,Breakfast,Sambhar,
Oct2023_week4,22/10/2023-28/10/2023,Breakfast,Coconut Chutney,
Oct2023_week4,22/10/2023-28/10/2023,Lunch,Paneer Curry,
Oct2023_week4,22/10/2023-28/10/2023,Lunch,Dal Tadka,
Oct2023_week4,22/10/2023-28/10/2023,Lunch,Paneer Bhurji,
Oct2023_week4,22/10/2023-28/10/2023,Dinner,Paneer Butter Masala,
Oct2023_week4,22/10/2023-28/10/2023,Dinner,Mixed Veg,
Oct2023_week4,22/10/2023-28/10/2023,Dinner,Palak Paneer,
Oct2023_week5,29/10/2023-31/10/2023,Breakfast,Idli,
Oct2023_week5,29/10/2023-31/10/2023,Breakfast,Puri,
Oct2023_week5,29/10/2023-31/10/2023,Breakfast,Coconut Chutney,
Oct2023_week5,29/10/2023-31/10/2023,Lunch,Paneer Masala,
Oct2023_week5,29/10/2023-31/10/2023,Lunch,Chole,
Oct2023_week5,29/10/2023-31/10/2023,Lunch,Aloo Gobi,
Oct2023_week5,29/10/2023-31/10/2023,Dinner,Chole,
Oct2023_week5,29/10/2023-31/10/2023,Dinner,Roti,
Oct2023_week5,29/10/2023-31/10/2023,Dinner,Palak Paneer,
Nov2023_week1,01/11/2023-07/11/2023,Breakfast,Chutney,
Nov2023_week1,01/11/2023-07/11/2023,Breakfast,Curd,
Nov2023_week1,01/11/2023-07/11/2023,Breakfast,Aloo Paratha,
Nov2023_week1,01/11/2023-07/11/2023,Lunch,Mixed Veg,
Nov2023_week1,01/11/2023-07/11/2023,Lunch,Chana Masala,
Nov2023_week1,01/11/2023-07/11/2023,Lunch,Dal,
Nov2023_week1,01/11/2023-07/11/2023,Dinner,Matar Mushroom,
Nov2023_week1,01/11/2023-07/11/2023,Dinner,Bhindi Fry,
Nov2023_week1,01/11/2023-07/11/2023,Dinner,Kadhi,
Nov2023_week2,08/11/2023-14/11/2023,Breakfast,Sambhar,
Nov2023_week2,08/11/2023-14/11/2023,Breakfast,Coconut Chutney,
Nov2023_week2,08/11/2023-14/11/2023,Breakfast,Chutney,
Nov2023_week2,08/11/2023-14/11/2023,Lunch,Chole,
Nov2023_week2,08/11/2023-14/11/2023,Lunch,Chana Masala,
Nov2023_week2,08/11/2023-14/11/2023,Lunch,Paneer Masala,
Nov2023_week2,08/11/2023-14/11/2023,Dinner,Vegetable Curry,
Nov2023_week2,08/11/2023-14/11/2023,Dinner,Chole,
Nov2023_week2,08/11/2023-14/11/2023,Dinner,Mixed Veg,
Nov2023_week3,15/11/2023-21/11/2023,Breakfast,Sambar,
Nov2023_week3,15/11/2023-21/11/2023,Breakfast,Pongal,
Nov2023_week3,15/11/2023-21/11/2023,Breakfast,Sambhar,
Nov2023_week3,15/11/2023-21/11/2023,Lunch,Paneer Bhurji,
Nov2023_week3,15/11/2023-21/11/2023,Lunch,Dal Tadka,
Nov2023_week3,15/11/2023-21/11/2023,Lunch,Paneer Curry,
Nov2023_week3,15/11/2023-21/11/2023,Dinner,Chole,
Nov2023_week3,15/11/2023-21/11/2023,Dinner,Vegetable Curry,
Nov2023_week3,15/11/2023-21/11/2023,Dinner,Roti,
Nov2023_week4,22/11/2023-28/11/2023,Breakfast,Jalebi,
Nov2023_week4,22/11/2023-28/11/2023,Breakfast,Puri,
Nov2023_week4,22/11/2023-28/11/2023,Breakfast,Chutney,
Nov2023_week4,22/11/2023-28/11/2023,Lunch,Rajma,
Nov2023_week4,22/11/2023-28/11/2023,Lunch,Aloo Gobi,
Nov2023_week4,22/11/2023-28/11/2023,Lunch,Paneer Bhurji,
Nov2023_week4,22/11/2023-28/11/2023,Dinner,Bhindi Fry,
Nov2023_week4,22/11/2023-28/11/2023,Dinner,Kadhi,
Nov2023_week4,22/11/2023-28/11/2023,Dinner,Vegetable Curry,
Nov2023_week5,29/11/2023-30/11/2023,Breakfast,Aloo Bhaji,
Nov2023_week5,29/11/2023-30/11/2023,Breakfast,Puri,
Nov2023_week5,29/11/2023-30/11/2023,Breakfast,Jalebi,
Nov2023_week5,29/11/2023-30/11/2023,Lunch,Paneer Masala,
Nov2023_week5,29/11/2023-30/11/2023,Lunch,Chole,
Nov2023_week5,29/11/2023-30/11/2023,Lunch,Rajma,
Nov2023_week5,29/11/2023-30/11/2023,Dinner,Matar Mushroom,
Nov2023_week5,29/11/2023-30/11/2023,Dinner,Chapati,
Nov2023_week5,29/11/2023-30/11/2023,Dinner,Shahi Paneer,
Dec2023_week1,01/12/2023-07/12/2023,Breakfast,Puri,
Dec2023_week1,01/12/2023-07/12/2023,Breakfast,Dosa,
Dec2023_week1,01/12/2023-07/12/2023,Breakfast,Pongal,
Dec2023_week1,01/12/2023-07/12/2023,Lunch,Paneer Bhurji,
Dec2023_week1,01/12/2023-07/12/2023,Lunch,Dal Tadka,
Dec2023_week1,01/12/2023-07/12/2023,Lunch,Aloo Gobi,
Dec2023_week1,01/12/2023-07/12/2023,Dinner,Paneer Butter Masala,
Dec2023_week1,01/12/2023-07/12/2023,Dinner,Shahi Paneer,
Dec2023_week1,01/12/2023-07/12/2023,Dinner,Bhindi Fry,
Dec2023_week2,08/12/2023-14/12/2023,Breakfast,Coconut Chutney,
Dec2023_week2,08/12/2023-14/12/2023,Breakfast,Sambhar,
Dec2023_week2,08/12/2023-14/12/2023,Breakfast,Dosa,
Dec2023_week2,08/12/2023-14/12/2023,Lunch,Chana Masala,
Dec2023_week2,08/12/2023-14/12/2023,Lunch,Paneer Masala,
Dec2023_week2,08/12/2023-14/12/2023,Lunch,Mixed Veg,
Dec2023_week2,08/12/2023-14/12/2023,Dinner,Vegetable Curry,
Dec2023_week2,08/12/2023-14/12/2023,Dinner,Paneer Butter Masala,
Dec2023_week2,08/12/2023-14/12/2023,Dinner,Chole,
Dec2023_week3,15/12/2023-21/12/2023,Breakfast,Sambhar,
Dec2023_week3,15/12/2023-21/12/2023,Breakfast,Sambar,
Dec2023_week3,15/12/2023-21/12/2023,Breakfast,Medu Vada,
Dec2023_week3,15/12/2023-21/12/2023,Lunch,Aloo Gobi,
Dec2023_week3,15/12/2023-21/12/2023,Lunch,Rajma,
Dec2023_week3,15/12/2023-21/12/2023,Lunch,Dal,
Dec2023_week3,15/12/2023-21/12/2023,Dinner,Mixed Veg,
Dec2023_week3,15/12/2023-21/12/2023,Dinner,Roti,
Dec2023_week3,15/12/2023-21/12/2023,Dinner,Chole,
Dec2023_week4,22/12/2023-28/12/2023,Breakfast,Sambar,
Dec2023_week4,22/12/2023-28/12/2023,Breakfast,Aloo Bhaji,
Dec2023_week4,22/12/2023-28/12/2023,Breakfast,Medu Vada,
Dec2023_week4,22/12/2023-28/12/2023,Lunch,Dal,
Dec2023_week4,22/12/2023-28/12/2023,Lunch,Paneer Bhurji,
Dec2023_week4,22/12/2023-28/12/2023,Lunch,Mixed Veg,
Dec2023_week4,22/12/2023-28/12/2023,Dinner,Shahi Paneer,
Dec2023_week4,22/12/2023-28/12/2023,Dinner,Matar Mushroom,
Dec2023_week4,22/12/2023-28/12/2023,Dinner,Bhindi Fry,
Dec2023_week5,29/12/2023-31/12/2023,Breakfast,Aloo Bhaji,
Dec2023_week5,29/12/2023-31/12/2023,Breakfast,Jalebi,
Dec2023_week5,29/12/2023-31/12/2023,Breakfast,Upma,
Dec2023_week5,29/12/2023-31/12/2023,Lunch,Mixed Veg,
Dec2023_week5,29/12/2023-31/12/2023,Lunch,Chana Masala,
Dec2023_week5,29/12/2023-31/12/2023,Lunch,Paneer Masala,
Dec2023_week5,29/12/2023-31/12/2023,Dinner,Palak Paneer,
Dec2023_week5,29/12/2023-31/12/2023,Dinner,Paneer Butter Masala,
Dec2023_week5,29/12/2023-31/12/2023,Dinner,Matar Mushroom,
Jan2024_week1,01/01/2024-07/01/2024,Breakfast,Pongal,
Jan2024_week1,01/01/2024-07/01/2024,Breakfast,Medu Vada,
Jan2024_week1,01/01/2024-07/01/2024,Breakfast,Idli,
Jan2024_week1,01/01/2024-07/01/2024,Lunch,Rajma,
Jan2024_week1,01/01/2024-07/01/2024,Lunch,Aloo Gobi,
Jan2024_week1,01/01/2024-07/01/2024,Lunch,Dal,
Jan2024_week1,01/01/2024-07/01/2024,Dinner,Vegetable Curry,
Jan2024_week1,01/01/2024-07/01/2024,Dinner,Chole,
Jan2024_week1,01/01/2024-07/01/2024,Dinner,Matar Mushroom,
Jan2024_week2,08/01/2024-14/01/2024,Breakfast,Puri,
Jan2024_week2,08/01/2024-14/01/2024,Breakfast,Medu Vada,
Jan2024_week2,08/01/2024-14/01/2024,Breakfast,Aloo Bhaji,
Jan2024_week2,08/01/2024-14/01/2024,Lunch,Paneer Curry,
Jan2024_week2,08/01/2024-14/01/2024,Lunch,Chana Masala,
Jan2024_week2,08/01/2024-14/01/2024,Lunch,Rajma,
Jan2024_week2,08/01/2024-14/01/2024,Dinner,Chole,
Jan2024_week2,08/01/2024-14/01/2024,Dinner,Roti,
Jan2024_week2,08/01/2024-14/01/2024,Dinner,Vegetable Curry,
Jan2024_week3,15/01/2024-21/01/2024,Breakfast,Pongal,
Jan2024_week3,15/01/2024-21/01/2024,Breakfast,Coconut Chutney,
Jan2024_week3,15/01/2024-21/01/2024,Breakfast,Upma,
Jan2024_week3,15/01/2024-21/01/2024,Lunch,Aloo Gobi,
Jan2024_week3,15/01/2024-21/01/2024,Lunch,Rajma,
Jan2024_week3,15/01/2024-21/01/2024,Lunch,Dal,
Jan2024_week3,15/01/2024-21/01/2024,Dinner,Chole,
Jan2024_week3,15/01/2024-21/01/2024,Dinner,Vegetable Curry,
Jan2024_week3,15/01/2024-21/01/2024,Dinner,Roti,
Jan2024_week4,22/01/2024-28/01/2024,Breakfast,Sambar,
Jan2024_week4,22/01/2024-28/01/2024,Breakfast,Aloo Bhaji,
Jan2024_week4,22/01/2024-28/01/2024,Breakfast,Dosa,
Jan2024_week4,22/01/2024-28/01/2024,Lunch,Rajma,
Jan2024_week4,22/01/2024-28/01/2024,Lunch,Dal Tadka,
Jan2024_week4,22/01/2024-28/01/2024,Lunch,Paneer Bhurji,
Jan2024_week4,22/01/2024-28/01/2024,Dinner,Bhindi Fry,
Jan2024_week4,22/01/2024-28/01/2024,Dinner,Mixed Veg,
Jan2024_week4,22/01/2024-28/01/2024,Dinner,Kadhi,
Jan2024_week5,29/01/2024-31/01/2024,Breakfast,Sambar,
Jan2024_week5,29/01/2024-31/01/2024,Breakfast,Medu Vada,
Jan2024_week5,29/01/2024-31/01/2024,Breakfast,Idli,
Jan2024_week5,29/01/2024-31/01/2024,Lunch,Paneer Bhurji,
Jan2024_week5,29/01/2024-31/01/2024,Lunch,Dal Tadka,
Jan2024_week5,29/01/2024-31/01/2024,Lunch,Paneer Masala,
Jan2024_week5,29/01/2024-31/01/2024,Dinner,Chole,
Jan2024_week5,29/01/2024-31/01/2024,Dinner,Shahi Paneer,
Jan2024_week5,29/01/2024-31/01/2024,Dinner,Chapati,
Feb2024_week1,01/02/2024-07/02/2024,Breakfast,Sambar,
Feb2024_week1,01/02/2024-07/02/2024,Breakfast,Medu Vada,
Feb2024_week1,01/02/2024-07/02/2024,Breakfast,Pongal,
Feb2024_week1,01/02/2024-07/02/2024,Lunch,Chana Masala,
Feb2024_week1,01/02/2024-07/02/2024,Lunch,Rajma,
Feb2024_week1,01/02/2024-07/02/2024,Lunch,Mixed Veg,
Feb2024_week1,01/02/2024-07/02/2024,Dinner,Bhindi Fry,
Feb2024_week1,01/02/2024-07/02/2024,Dinner,Kadhi,
Feb2024_week1,01/02/2024-07/02/2024,Dinner,Shahi Paneer,
Feb2024_week2,08/02/2024-14/02/2024,Breakfast,Pongal,
Feb2024_week2,08/02/2024-14/02/2024,Breakfast,Medu Vada,
Feb2024_week2,08/02/2024-14/02/2024,Breakfast,Sambar,
Feb2024_week2,08/02/2024-14/02/2024,Lunch,Paneer Curry,
Feb2024_week2,08/02/2024-14/02/2024,Lunch,Rajma,
Feb2024_week2,08/02/2024-14/02/2024,Lunch,Paneer Bhurji,
Feb2024_week2,08/02/2024-14/02/2024,Dinner,Roti,
Feb2024_week2,08/02/2024-14/02/2024,Dinner,Mixed Veg,
Feb2024_week2,08/02/2024-14/02/2024,Dinner,Chole,
Feb2024_week3,15/02/2024-21/02/2024,Breakfast,Sambar,
Feb2024_week3,15/02/2024-21/02/2024,Breakfast,Aloo Paratha,
Feb2024_week3,15/02/2024-21/02/2024,Breakfast,Medu Vada,
Feb2024_week3,15/02/2024-21/02/2024,Lunch,Chole,
Feb2024_week3,15/02/2024-21/02/2024,Lunch,Paneer Curry,
Feb2024_week3,15/02/2024-21/02/2024,Lunch,Dal,
Feb2024_week3,15/02/2024-21/02/2024,Dinner,Paneer Butter Masala,
Feb2024_week3,15/02/2024-21/02/2024,Dinner,Palak Paneer,
Feb2024_week3,15/02/2024-21/02/2024,Dinner,Matar Mushroom,
Feb2024_week4,22/02/2024-28/02/2024,Breakfast,Idli,
Feb2024_week4,22/02/2024-28/02/2024,Breakfast,Sambar,
Feb2024_week4,22/02/2024-28/02/2024,Breakfast,Medu Vada,
Feb2024_week4,22/02/2024-28/02/2024,Lunch,Dal,
Feb2024_week4,22/02/2024-28/02/2024,Lunch,Paneer Bhurji,
Feb2024_week4,22/02/2024-28/02/2024,Lunch,Paneer Curry,
Feb2024_week4,22/02/2024-28/02/2024,Dinner,Matar Mushroom,
Feb2024_week4,22/02/2024-28/02/2024,Dinner,Bhindi Fry,
Feb2024_week4,22/02/2024-28/02/2024,Dinner,Kadhi,
Feb2024_week5,29/02/2024-29/02/2024,Breakfast,Idli,
Feb2024_week5,29/02/2024-29/02/2024,Breakfast,Sambhar,
Feb2024_week5,29/02/2024-29/02/2024,Breakfast,Coconut Chutney,
Feb2024_week5,29/02/2024-29/02/2024,Lunch,Mixed Veg,
Feb2024_week5,29/02/2024-29/02/2024,Lunch,Rice,
Feb2024_week5,29/02/2024-29/02/2024,Lunch,Chana Masala,
Feb2024_week5,29/02/2024-29/02/2024,Dinner,Palak Paneer,
Feb2024_week5,29/02/2024-29/02/2024,Dinner,Mixed Veg,
Feb2024_week5,29/02/2024-29/02/2024,Dinner,Chapati,
Mar2024_week1,01/03/2024-07/03/2024,Breakfast,Pongal,
Mar2024_week1,01/03/2024-07/03/2024,Breakfast,Sambar,
Mar2024_week1,01/03/2024-07/03/2024,Breakfast,Dosa,
Mar2024_week1,01/03/2024-07/03/2024,Lunch,Paneer Curry,
Mar2024_week1,01/03/2024-07/03/2024,Lunch,Aloo Gobi,
Mar2024_week1,01/03/2024-07/03/2024,Lunch,Dal,
Mar2024_week1,01/03/2024-07/03/2024,Dinner,Kadhi,
Mar2024_week1,01/03/2024-07/03/2024,Dinner,Matar Mushroom,
Mar2024_week1,01/03/2024-07/03/2024,Dinner,Shahi Paneer,
Mar2024_week2,08/03/2024-14/03/2024,Breakfast,Puri,
Mar2024_week2,08/03/2024-14/03/2024,Breakfast,Aloo Bhaji,
Mar2024_week2,08/03/2024-14/03/2024,Breakfast,Jalebi,
Mar2024_week2,08/03/2024-14/03/2024,Lunch,Mixed Veg,
Mar2024_week2,08/03/2024-14/03/2024,Lunch,Chana Masala,
Mar2024_week2,08/03/2024-14/03/2024,Lunch,Chole,
Mar2024_week2,08/03/2024-14/03/2024,Dinner,Vegetable Curry,
Mar2024_week2,08/03/2024-14/03/2024,Dinner,Chole,
Mar2024_week2,08/03/2024-14/03/2024,Dinner,Kadhi,
Mar2024_week3,15/03/2024-21/03/2024,Breakfast,Upma,
Mar2024_week3,15/03/2024-21/03/2024,Breakfast,Coconut Chutney,
Mar2024_week3,15/03/2024-21/03/2024,Breakfast,Sambar,
Mar2024_week3,15/03/2024-21/03/2024,Lunch,Paneer Bhurji,
Mar2024_week3,15/03/2024-21/03/2024,Lunch,Dal Tadka,
Mar2024_week3,15/03/2024-21/03/2024,Lunch,Dal,
Mar2024_week3,15/03/2024-21/03/2024,Dinner,Matar Mushroom,
Mar2024_week3,15/03/2024-21/03/2024,Dinner,Paneer Butter Masala,
Mar2024_week3,15/03/2024-21/03/2024,Dinner,Mixed Veg,
Mar2024_week4,22/03/2024-28/03/2024,Breakfast,Coconut Chutney,
Mar2024_week4,22/03/2024-28/03/2024,Breakfast,Sambhar,
Mar2024_week4,22/03/2024-28/03/2024,Breakfast,Upma,
Mar2024_week4,22/03/2024-28/03/2024,Lunch,Chana Masala,
Mar2024_week4,22/03/2024-28/03/2024,Lunch,Dal Tadka,
Mar2024_week4,22/03/2024-28/03/2024,Lunch,Paneer Curry,
Mar2024_week4,22/03/2024-28/03/2024,Dinner,Chole,
Mar2024_week4,22/03/2024-28/03/2024,Dinner,Vegetable Curry,
Mar2024_week4,22/03/2024-28/03/2024,Dinner,Shahi Paneer,
Mar2024_week5,29/03/2024-31/03/2024,Breakfast,Sambhar,
Mar2024_week5,29/03/2024-31/03/2024,Breakfast,Idli,
Mar2024_week5,29/03/2024-31/03/2024,Breakfast,Coconut Chutney,
Mar2024_week5,29/03/2024-31/03/2024,Lunch,Dal,
Mar2024_week5,29/03/2024-31/03/2024,Lunch,Mixed Veg,
Mar2024_week5,29/03/2024-31/03/2024,Lunch,Rajma,
Mar2024_week5,29/03/2024-31/03/2024,Dinner,Mixed Veg,
Mar2024_week5,29/03/2024-31/03/2024,Dinner,Paneer Butter Masala,
Mar2024_week5,29/03/2024-31/03/2024,Dinner,Chapati,
Apr2024_week1,01/04/2024-07/04/2024,Breakfast,Jalebi,
Apr2024_week1,01/04/2024-07/04/2024,Breakfast,Aloo Bhaji,
Apr2024_week1,01/04/2024-07/04/2024,Breakfast,Puri,
Apr2024_week1,01/04/2024-07/04/2024,Lunch,Chole,
Apr2024_week1,01/04/2024-07/04/2024,Lunch,Chana Masala,
Apr2024_week1,01/04/2024-07/04/2024,Lunch,Paneer Curry,
Apr2024_week1,01/04/2024-07/04/2024,Dinner,Paneer Butter Masala,
Apr2024_week1,01/04/2024-07/04/2024,Dinner,Vegetable Curry,
Apr2024_week1,01/04/2024-07/04/2024,Dinner,Chole,
Apr2024_week2,08/04/2024-14/04/2024,Breakfast,Upma,
Apr2024_week2,08/04/2024-14/04/2024,Breakfast,Pongal,
Apr2024_week2,08/04/2024-14/04/2024,Breakfast,Medu Vada,
Apr2024_week2,08/04/2024-14/04/2024,Lunch,Chana Masala,
Apr2024_week2,08/04/2024-14/04/2024,Lunch,Mixed Veg,
Apr2024_week2,08/04/2024-14/04/2024,Lunch,Paneer Bhurji,
Apr2024_week2,08/04/2024-14/04/2024,Dinner,Kadhi,
Apr2024_week2,08/04/2024-14/04/2024,Dinner,Shahi Paneer,
Apr2024_week2,08/04/2024-14/04/2024,Dinner,Bhindi Fry,
Apr2024_week3,15/04/2024-21/04/2024,Breakfast,Sambar,
Apr2024_week3,15/04/2024-21/04/2024,Breakfast,Medu Vada,
Apr2024_week3,15/04/2024-21/04/2024,Breakfast,Upma,
Apr2024_week3,15/04/2024-21/04/2024,Lunch,Chole,
Apr2024_week3,15/04/2024-21/04/2024,Lunch,Paneer Masala,
Apr2024_week3,15/04/2024-21/04/2024,Lunch,Rajma,
