month_year,week,date,breakfast_items,breakfast_kg,lunch_items,lunch_kg,dinner_items,dinner_kg
Aug2023,week2,13/08/2023,Medu Vada;Poha;Chole Bhature,60.89;60.79;61.99,Rice;Dal Tadka;Palak Paneer,232.65;285.24;216.07,Roti;Dal Makhani;Tandoori Roti,322.89;303.16;294.78
Aug2023,week2,14/08/2023,Idli;Upma;Puri,93.23;77.31;73.95,Rice;Palak Paneer;Mixed Vegetables,304.91;268.82;214.45,Roti;Dal Makhani;Shahi Paneer,327.00;368.65;297.15
Aug2023,week3,15/08/2023,Poha;Puri;Aloo Paratha,62.64;73.18;45.58,Rice;Chole;Palak Paneer,250.04;294.06;207.19,Roti;Shahi Paneer;Chana Masala,367.87;303.17;306.91
Aug2023,week3,16/08/2023,Idli;Samosa;Puri,90.06;76.24;77.28,Rice;Rajma;Sambar,265.47;307.81;203.87,Roti;Shahi Paneer;Aloo Gobi,358.34;280.88;297.83
Aug2023,week3,17/08/2023,Dosa;Chole Bhature;Aloo Paratha,92.25;60.47;43.51,Rice;Curd Rice;Mixed Vegetables,308.40;280.23;203.01,Roti;Paneer Tikka;Bhindi Fry,285.77;228.00;286.15
Aug2023,week3,18/08/2023,Chole Bhature;Aloo Paratha;Poha,62.73;44.14;61.18,Rice;Dal Tadka;Palak Paneer,250.26;297.01;207.55,Roti;Chana Masala;Bhindi Fry,306.46;249.75;303.13
Aug2023,week3,19/08/2023,Upma;Aloo Paratha;Dosa,72.91;43.59;94.11,Rice;Sambar;Chole,311.12;240.65;202.51,Roti;Dal Makhani;Paneer Tikka,326.69;290.49;309.55
Aug2023,week3,20/08/2023,Idli;Poha;Samosa,92.78;59.69;71.84,Rice;Curd Rice;Dal Tadka,305.51;242.04;210.13,Roti;Aloo Gobi;Dal Makhani,262.74;343.22;296.80
Aug2023,week3,21/08/2023,Puri;Poha;Idli,73.29;61.79;87.47,Rice;Dal Tadka;Mixed Vegetables,236.08;282.25;208.65,Roti;Dal Makhani;Bhindi Fry,345.02;235.74;302.15
Aug2023,week4,22/08/2023,Poha;Puri;Idli,61.25;74.89;94.41,Rice;Chole;Dal Tadka,245.39;245.72;217.23,Roti;Bhindi Fry;Tandoori Roti,251.88;311.53;314.95
Aug2023,week4,23/08/2023,Aloo Paratha;Upma;Idli,44.89;76.59;93.53,Rice;Mixed Vegetables;Palak Paneer,280.95;288.35;208.65,Roti;Paneer Butter Masala;Paneer Tikka,359.59;293.63;288.00
Aug2023,week4,24/08/2023,Idli;Puri;Chole Bhature,87.04;73.48;60.70,Rice;Palak Paneer;Chole,299.39;237.14;217.41,Roti;Paneer Butter Masala;Paneer Tikka,376.62;291.23;296.16
Aug2023,week4,25/08/2023,Samosa;Medu Vada;Poha,75.89;58.94;57.89,Rice;Chole;Curd Rice,233.19;300.99;212.81,Roti;Shahi Paneer;Aloo Gobi,370.76;280.60;312.24
Aug2023,week4,26/08/2023,Samosa;Chole Bhature;Dosa,74.53;58.62;88.19,Rice;Rajma;Chole,273.47;239.12;210.65,Roti;Paneer Tikka;Tandoori Roti,307.18;302.22;286.11
Aug2023,week4,27/08/2023,Idli;Samosa;Upma,94.40;74.68;75.16,Rice;Mixed Vegetables;Rasam,259.16;280.37;207.77,Roti;Dal Makhani;Paneer Butter Masala,315.94;366.43;310.06
Aug2023,week4,28/08/2023,Poha;Upma;Idli,59.43;75.75;91.41,Rice;Palak Paneer;Curd Rice,290.05;295.12;212.49,Roti;Paneer Tikka;Tandoori Roti,301.42;289.43;314.60
Aug2023,week5,29/08/2023,Upma;Aloo Paratha;Idli,73.18;44.27;93.29,Rice;Chole;Palak Paneer,242.88;293.22;220.50,Roti;Aloo Gobi;Shahi Paneer,279.53;351.61;312.56
Aug2023,week5,30/08/2023,Medu Vada;Chole Bhature;Samosa,58.46;60.61;73.49,Rice;Sambar;Rajma,285.31;261.10;216.10,Roti;Paneer Tikka;Chana Masala,293.31;294.48;307.95
Aug2023,week5,31/08/2023,Medu Vada;Idli;Chole Bhature,62.88;91.18;62.74,Rice;Rasam;Dal Tadka,256.57;249.85;212.43,Roti;Bhindi Fry;Chana Masala,247.31;292.12;295.21
Sep2023,week1,01/09/2023,Idli;Samosa;Dosa,91.44;71.81;93.51,Rice;Rasam;Dal Tadka,277.25;229.71;207.05,Roti;Bhindi Fry;Aloo Gobi,245.31;277.16;292.08
Sep2023,week1,02/09/2023,Upma;Aloo Paratha;Medu Vada,74.02;45.97;60.48,Rice;Rajma;Curd Rice,280.85;298.83;204.97,Roti;Bhindi Fry;Chana Masala,237.86;286.03;287.71
Sep2023,week1,03/09/2023,Aloo Paratha;Chole Bhature;Medu Vada,43.45;57.64;58.42,Rice;Chole;Rajma,241.58;262.51;202.24,Roti;Paneer Tikka;Aloo Gobi,289.74;274.01;298.68
Sep2023,week1,04/09/2023,Aloo Paratha;Idli;Puri,46.66;92.16;72.33,Rice;Chole;Rasam,243.26;270.75;202.16,Roti;Tandoori Roti;Aloo Gobi,307.89;283.36;285.30
Sep2023,week1,05/09/2023,Chole Bhature;Medu Vada;Samosa,62.08;58.84;75.80,Rice;Mixed Vegetables;Dal Tadka,265.15;249.45;212.81,Roti;Paneer Butter Masala;Chana Masala,366.11;301.58;293.12
Sep2023,week1,06/09/2023,Upma;Samosa;Puri,71.73;71.98;77.91,Rice;Palak Paneer;Rasam,295.75;260.23;206.02,Roti;Shahi Paneer;Bhindi Fry,373.42;234.33;301.69
Sep2023,week1,07/09/2023,Poha;Upma;Idli,58.18;77.21;86.50,Rice;Palak Paneer;Dal Tadka,293.44;245.80;217.00,Roti;Shahi Paneer;Paneer Butter Masala,376.23;357.25;297.57
Sep2023,week2,08/09/2023,Chole Bhature;Idli;Puri,60.31;87.73;73.00,Rice;Rasam;Sambar,274.75;293.85;216.91,Roti;Bhindi Fry;Chana Masala,240.52;288.16;313.48
Sep2023,week2,09/09/2023,Idli;Upma;Chole Bhature,92.69;71.45;61.82,Rice;Chole;Rajma,249.10;274.22;212.97,Roti;Paneer Butter Masala;Shahi Paneer,373.94;347.87;312.32
Sep2023,week2,10/09/2023,Dosa;Poha;Idli,92.15;60.02;92.57,Rice;Rajma;Curd Rice,264.45;300.08;202.20,Roti;Chana Masala;Shahi Paneer,293.84;376.12;309.56
Sep2023,week2,11/09/2023,Chole Bhature;Idli;Medu Vada,60.72;88.76;61.59,Rice;Sambar;Dal Tadka,313.87;233.79;210.33,Roti;Shahi Paneer;Dal Makhani,365.46;344.73;295.02
Sep2023,week2,12/09/2023,Aloo Paratha;Idli;Samosa,46.31;88.52;76.73,Rice;Palak Paneer;Rajma,314.95;262.90;204.26,Roti;Dal Makhani;Chana Masala,316.10;287.92;299.70
Sep2023,week2,13/09/2023,Medu Vada;Puri;Idli,61.47;71.82;88.91,Rice;Sambar;Rajma,313.53;268.19;214.41,Roti;Aloo Gobi;Tandoori Roti,266.45;312.58;309.05
Sep2023,week2,14/09/2023,Aloo Paratha;Upma;Idli,45.48;77.68;90.16,Rice;Mixed Vegetables;Rajma,277.93;264.46;220.00,Roti;Aloo Gobi;Paneer Butter Masala,265.94;377.55;299.99
Sep2023,week3,15/09/2023,Samosa;Poha;Upma,75.06;62.39;72.84,Rice;Palak Paneer;Dal Tadka,304.43;246.77;206.05,Roti;Bhindi Fry;Chana Masala,239.43;312.73;298.77
Sep2023,week3,16/09/2023,Samosa;Poha;Aloo Paratha,76.63;59.02;46.02,Rice;Rajma;Chole,262.29;230.08;203.75,Roti;Dal Makhani;Tandoori Roti,315.60;308.37;305.88
Sep2023,week3,17/09/2023,Samosa;Idli;Poha,75.02;88.91;62.74,Rice;Curd Rice;Rajma,299.25;264.50;214.65,Roti;Paneer Butter Masala;Shahi Paneer,353.79;365.81;297.62
Sep2023,week3,18/09/2023,Dosa;Samosa;Aloo Paratha,90.64;74.76;46.02,Rice;Dal Tadka;Curd Rice,240.85;310.10;200.35,Roti;Chana Masala;Bhindi Fry,302.16;229.35;296.48
Sep2023,week3,19/09/2023,Puri;Samosa;Medu Vada,76.58;76.18;61.45,Rice;Chole;Rajma,245.16;262.58;205.19,Roti;Chana Masala;Paneer Butter Masala,287.53;361.68;308.30
Sep2023,week3,20/09/2023,Idli;Chole Bhature;Puri,86.05;59.32;78.27,Rice;Mixed Vegetables;Palak Paneer,275.56;310.08;204.49,Roti;Tandoori Roti;Paneer Tikka,292.54;294.93;287.61
Sep2023,week3,21/09/2023,Medu Vada;Upma;Chole Bhature,58.59;73.62;59.96,Rice;Palak Paneer;Curd Rice,305.76;293.54;214.36,Roti;Dal Makhani;Shahi Paneer,343.83;367.27;311.34
Sep2023,week4,22/09/2023,Chole Bhature;Upma;Medu Vada,58.74;75.20;58.46,Rice;Rasam;Dal Tadka,277.32;250.96;201.57,Roti;Paneer Tikka;Bhindi Fry,302.55;243.65;304.94
Sep2023,week4,23/09/2023,Chole Bhature;Upma;Puri,61.89;72.45;78.75,Rice;Sambar;Mixed Vegetables,310.05;270.32;216.59,Roti;Aloo Gobi;Bhindi Fry,270.87;246.24;309.21
Sep2023,week4,24/09/2023,Dosa;Idli;Chole Bhature,87.80;89.74;61.52,Rice;Mixed Vegetables;Chole,265.75;242.68;199.53,Roti;Aloo Gobi;Paneer Butter Masala,259.17;377.10;299.67
Sep2023,week4,25/09/2023,Medu Vada;Idli;Puri,61.81;93.44;76.65,Rice;Rasam;Curd Rice,282.40;292.61;204.76,Roti;Bhindi Fry;Chana Masala,249.68;312.77;299.88
Sep2023,week4,26/09/2023,Dosa;Samosa;Puri,86.81;72.06;77.07,Rice;Rasam;Chole,264.81;251.91;210.83,Roti;Tandoori Roti;Dal Makhani,289.51;318.11;293.55
Sep2023,week4,27/09/2023,Chole Bhature;Samosa;Poha,58.42;72.70;58.58,Rice;Sambar;Rajma,288.98;279.58;206.13,Roti;Chana Masala;Bhindi Fry,303.09;231.98;303.32
Sep2023,week4,28/09/2023,Puri;Upma;Chole Bhature,72.74;77.74;62.76,Rice;Curd Rice;Rajma,294.00;272.38;203.84,Roti;Chana Masala;Aloo Gobi,305.88;277.53;312.74
Sep2023,week5,29/09/2023,Upma;Medu Vada;Chole Bhature,77.64;58.93;59.76,Rice;Rajma;Sambar,275.77;285.51;201.90,Roti;Paneer Butter Masala;Aloo Gobi,377.09;275.24;292.38
Sep2023,week5,30/09/2023,Medu Vada;Upma;Poha,61.10;75.33;62.94,Rice;Rasam;Mixed Vegetables,279.33;275.38;202.56,Roti;Aloo Gobi;Bhindi Fry,283.05;233.00;290.55
Oct2023,week1,01/10/2023,Medu Vada;Aloo Paratha;Poha,57.84;44.43;59.81,Rice;Mixed Vegetables;Curd Rice,264.75;289.28;203.52,Roti;Shahi Paneer;Chana Masala,357.55;291.64;308.78
Oct2023,week1,02/10/2023,Puri;Poha;Idli,77.41;58.80;93.12,Rice;Palak Paneer;Dal Tadka,300.42;249.44;204.08,Roti;Tandoori Roti;Paneer Butter Masala,304.63;354.36;305.21
Oct2023,week1,03/10/2023,Chole Bhature;Samosa;Poha,57.91;73.11;61.34,Rice;Curd Rice;Rajma,310.56;270.99;214.51,Roti;Paneer Butter Masala;Dal Makhani,371.34;334.40;304.45
Oct2023,week1,04/10/2023,Samosa;Medu Vada;Upma,78.42;57.95;75.74,Rice;Dal Tadka;Chole,236.93;243.66;204.05,Roti;Shahi Paneer;Paneer Tikka,358.30;305.76;290.56
Oct2023,week1,05/10/2023,Aloo Paratha;Upma;Dosa,47.21;77.84;88.60,Rice;Mixed Vegetables;Palak Paneer,268.75;305.96;216.51,Roti;Chana Masala;Aloo Gobi,285.31;281.54;303.63
Oct2023,week1,06/10/2023,Aloo Paratha;Samosa;Dosa,46.94;73.80;92.91,Rice;Chole;Dal Tadka,246.44;232.69;215.53,Roti;Dal Makhani;Chana Masala,343.56;304.16;314.81
Oct2023,week1,07/10/2023,Chole Bhature;Dosa;Upma,61.61;91.84;74.17,Rice;Mixed Vegetables;Dal Tadka,278.86;246.39;210.01,Roti;Paneer Tikka;Aloo Gobi,308.81;281.65;290.58
Oct2023,week2,08/10/2023,Samosa;Medu Vada;Upma,76.36;58.73;74.56,Rice;Curd Rice;Sambar,311.76;285.41;216.12,Roti;Paneer Tikka;Chana Masala,313.86;285.27;287.12
Oct2023,week2,09/10/2023,Dosa;Aloo Paratha;Upma,94.42;46.81;76.08,Rice;Mixed Vegetables;Palak Paneer,274.17;291.93;210.45,Roti;Shahi Paneer;Tandoori Roti,364.76;309.41;301.06
Oct2023,week2,10/10/2023,Medu Vada;Dosa;Upma,62.56;87.31;76.91,Rice;Chole;Sambar,249.95;308.24;205.26,Roti;Tandoori Roti;Paneer Tikka,304.58;302.45;289.31
Oct2023,week2,11/10/2023,Poha;Dosa;Chole Bhature,60.39;86.97;62.21,Rice;Mixed Vegetables;Sambar,268.67;306.99;199.75,Roti;Chana Masala;Aloo Gobi,303.22;264.44;300.37
Oct2023,week2,12/10/2023,Idli;Puri;Samosa,94.42;75.62;71.74,Rice;Palak Paneer;Dal Tadka,301.65;232.54;218.72,Roti;Aloo Gobi;Paneer Butter Masala,257.00;356.40;293.20
Oct2023,week2,13/10/2023,Upma;Samosa;Idli,77.98;77.52;89.79,Rice;Dal Tadka;Mixed Vegetables,239.04;264.99;200.27,Roti;Dal Makhani;Chana Masala,321.11;292.68;303.31
Oct2023,week2,14/10/2023,Chole Bhature;Puri;Samosa,60.12;74.98;75.34,Rice;Dal Tadka;Mixed Vegetables,238.69;270.34;200.85,Roti;Bhindi Fry;Chana Masala,248.46;298.67;299.52
Oct2023,week3,15/10/2023,Puri;Chole Bhature;Idli,23.86;19.19;29.89,Rice;Curd Rice;Rasam,103.48;88.96;69.63,Roti;Aloo Gobi;Paneer Tikka,88.91;99.52;97.62
Oct2023,week3,16/10/2023,Idli;Medu Vada;Aloo Paratha,30.29;19.38;15.40,Rice;Curd Rice;Dal Tadka,98.37;79.74;69.25,Roti;Bhindi Fry;Shahi Paneer,77.45;119.84;104.92
Oct2023,week3,17/10/2023,Medu Vada;Samosa;Idli,19.45;24.98;29.09,Rice;Curd Rice;Rasam,103.38;90.38;71.80,Roti;Tandoori Roti;Bhindi Fry,95.45;82.52;98.45
Oct2023,week3,18/10/2023,Chole Bhature;Aloo Paratha;Idli,20.87;14.31;30.82,Rice;Dal Tadka;Mixed Vegetables,81.21;89.36;67.36,Roti;Aloo Gobi;Bhindi Fry,90.04;81.09;101.50
Oct2023,week3,19/10/2023,Puri;Samosa;Chole Bhature,24.44;26.21;20.46,Rice;Sambar;Curd Rice,97.98;100.26;67.75,Roti;Dal Makhani;Bhindi Fry,115.35;83.75;103.22
Oct2023,week3,20/10/2023,Medu Vada;Upma;Puri,20.83;25.20;25.33,Rice;Curd Rice;Palak Paneer,96.14;101.70;73.26,Roti;Paneer Tikka;Dal Makhani,95.48;109.05;98.24
Oct2023,week3,21/10/2023,Puri;Poha;Samosa,24.01;19.95;25.43,Rice;Chole;Sambar,77.23;96.58;67.48,Roti;Dal Makhani;Paneer Tikka,111.13;98.38;104.36
Oct2023,week4,22/10/2023,Chole Bhature;Dosa;Puri,20.54;31.11;24.47,Rice;Chole;Curd Rice,80.43;101.92;72.90,Roti;Dal Makhani;Paneer Tikka,105.80;97.07;101.15
Oct2023,week4,23/10/2023,Upma;Medu Vada;Idli,25.81;20.30;31.06,Rice;Dal Tadka;Curd Rice,80.51;102.01;69.44,Roti;Chana Masala;Bhindi Fry,100.53;83.52;95.23
Oct2023,week4,24/10/2023,Aloo Paratha;Puri;Poha,14.85;25.08;20.80,Rice;Mixed Vegetables;Curd Rice,86.03;96.24;71.86,Roti;Aloo Gobi;Tandoori Roti,88.53;100.00;100.21
Oct2023,week4,25/10/2023,Upma;Puri;Samosa,78.12;76.15;72.65,Rice;Chole;Mixed Vegetables,250.27;258.58;214.97,Roti;Tandoori Roti;Aloo Gobi,309.00;266.76;291.39
Oct2023,week4,26/10/2023,Dosa;Aloo Paratha;Samosa,94.30;44.96;75.61,Rice;Curd Rice;Mixed Vegetables,303.77;261.97;212.38,Roti;Paneer Tikka;Chana Masala,291.33;313.11;313.91
Oct2023,week4,27/10/2023,Dosa;Samosa;Idli,86.15;76.04;94.43,Rice;Curd Rice;Rajma,310.82;277.54;208.96,Roti;Chana Masala;Tandoori Roti,292.50;298.68;314.14
Oct2023,week4,28/10/2023,Upma;Poha;Aloo Paratha,72.08;61.74;43.03,Rice;Rajma;Curd Rice,264.41;286.98;207.26,Roti;Aloo Gobi;Dal Makhani,276.53;343.58;311.88
Oct2023,week5,29/10/2023,Chole Bhature;Dosa;Poha,57.93;87.96;60.20,Rice;Sambar;Mixed Vegetables,296.05;278.78;211.94,Roti;Chana Masala;Bhindi Fry,314.41;237.56;291.45
Oct2023,week5,30/10/2023,Aloo Paratha;Samosa;Poha,44.64;75.03;58.43,Rice;Sambar;Rajma,292.90;274.08;205.13,Roti;Tandoori Roti;Shahi Paneer,285.42;365.43;305.52
Oct2023,week5,31/10/2023,Chole Bhature;Medu Vada;Aloo Paratha,59.97;57.50;47.24,Rice;Palak Paneer;Curd Rice,311.72;295.61;211.19,Roti;Shahi Paneer;Aloo Gobi,359.78;271.09;312.21
Nov2023,week1,01/11/2023,Upma;Aloo Paratha;Samosa,72.38;43.82;77.17,Rice;Rajma;Palak Paneer,273.96;293.97;217.52,Roti;Shahi Paneer;Aloo Gobi,361.90;281.11;305.88
Nov2023,week1,02/11/2023,Dosa;Chole Bhature;Upma,91.43;58.61;75.26,Rice;Rasam;Sambar,279.10;302.75;208.41,Roti;Paneer Butter Masala;Shahi Paneer,368.82;342.66;285.31
Nov2023,week1,03/11/2023,Chole Bhature;Aloo Paratha;Poha,57.25;45.68;58.62,Rice;Palak Paneer;Dal Tadka,301.85;237.22;199.85,Roti;Shahi Paneer;Tandoori Roti,348.31;286.10;287.22
Nov2023,week1,04/11/2023,Chole Bhature;Poha;Aloo Paratha,61.00;60.05;45.35,Rice;Rajma;Curd Rice,256.56;314.91;203.40,Roti;Shahi Paneer;Paneer Butter Masala,372.54;347.29;311.67
Nov2023,week1,05/11/2023,Upma;Puri;Aloo Paratha,76.57;77.70;43.64,Rice;Dal Tadka;Mixed Vegetables,231.93;259.83;212.77,Roti;Paneer Butter Masala;Tandoori Roti,374.63;299.83;301.69
Nov2023,week1,06/11/2023,Chole Bhature;Dosa;Puri,19.58;31.07;25.64,Rice;Chole;Dal Tadka,77.07;78.96;70.68,Roti;Dal Makhani;Paneer Tikka,108.94;99.35;100.02
Nov2023,week1,07/11/2023,Puri;Idli;Dosa,24.36;28.56;29.86,Rice;Rajma;Sambar,87.30;98.00;71.59,Roti;Paneer Butter Masala;Shahi Paneer,114.03;121.71;95.32
Nov2023,week2,08/11/2023,Samosa;Medu Vada;Dosa,24.70;20.23;30.62,Rice;Chole;Mixed Vegetables,81.91;89.57;73.21,Roti;Paneer Butter Masala;Dal Makhani,114.10;109.36;96.05
Nov2023,week2,09/11/2023,Upma;Chole Bhature;Poha,26.23;20.43;20.55,Rice;Rajma;Dal Tadka,86.73;80.09;69.72,Roti;Paneer Butter Masala;Aloo Gobi,123.91;93.15;100.33
Nov2023,week2,10/11/2023,Idli;Upma;Samosa,28.65;24.28;24.96,Rice;Rasam;Dal Tadka,90.08;76.34;69.79,Roti;Bhindi Fry;Aloo Gobi,76.57;87.38;97.33
Nov2023,week2,11/11/2023,Idli;Upma;Poha,31.25;25.57;19.35,Rice;Rajma;Rasam,89.55;87.72;66.92,Roti;Shahi Paneer;Dal Makhani,123.63;114.85;95.26
Nov2023,week2,12/11/2023,Upma;Aloo Paratha;Dosa,24.99;14.92;31.19,Rice;Chole;Rasam,82.72;85.56;73.10,Roti;Bhindi Fry;Chana Masala,82.30;97.56;95.04
Nov2023,week2,13/11/2023,Chole Bhature;Medu Vada;Dosa,57.94;57.16;86.75,Rice;Rasam;Palak Paneer,274.27;292.83;209.20,Roti;Chana Masala;Tandoori Roti,285.33;309.99;309.14
Nov2023,week2,14/11/2023,Medu Vada;Aloo Paratha;Puri,59.13;46.95;77.91,Rice;Rajma;Mixed Vegetables,271.76;268.30;202.35,Roti;Bhindi Fry;Tandoori Roti,233.10;296.26;288.60
Nov2023,week3,15/11/2023,Chole Bhature;Upma;Idli,59.95;76.38;88.52,Rice;Mixed Vegetables;Rasam,279.81;282.10;199.78,Roti;Tandoori Roti;Paneer Butter Masala,285.47;352.07;302.83
Nov2023,week3,16/11/2023,Aloo Paratha;Puri;Poha,45.66;76.50;58.15,Rice;Dal Tadka;Chole,233.21;228.96;217.96,Roti;Dal Makhani;Paneer Tikka,323.95;286.04;287.48
Nov2023,week3,17/11/2023,Idli;Upma;Dosa,93.24;74.61;91.45,Rice;Rajma;Curd Rice,257.52;309.45;210.42,Roti;Tandoori Roti;Chana Masala,291.70;308.80;294.43
Nov2023,week3,18/11/2023,Medu Vada;Chole Bhature;Upma,61.87;57.36;77.11,Rice;Rajma;Rasam,276.35;267.38;213.77,Roti;Shahi Paneer;Bhindi Fry,364.44;245.40;307.14
Nov2023,week3,19/11/2023,Chole Bhature;Samosa;Poha,57.89;74.41;58.04,Rice;Mixed Vegetables;Sambar,269.08;308.43;216.14,Roti;Tandoori Roti;Chana Masala,288.48;312.99;297.89
Nov2023,week3,20/11/2023,Aloo Paratha;Idli;Dosa,45.89;85.78;93.12,Rice;Mixed Vegetables;Dal Tadka,272.60;246.55;212.80,Roti;Chana Masala;Dal Makhani,292.77;342.73;289.12
Nov2023,week3,21/11/2023,Poha;Upma;Aloo Paratha,59.85;73.47;43.86,Rice;Curd Rice;Palak Paneer,305.89;287.91;206.24,Roti;Paneer Tikka;Tandoori Roti,293.85;307.39;310.07
Nov2023,week4,22/11/2023,Puri;Upma;Aloo Paratha,73.87;74.95;47.21,Rice;Rasam;Mixed Vegetables,272.63;275.34;211.48,Roti;Bhindi Fry;Dal Makhani,229.89;343.92;298.12
Nov2023,week4,23/11/2023,Medu Vada;Dosa;Puri,59.16;87.14;73.02,Rice;Rajma;Dal Tadka,273.17;241.67;220.31,Roti;Paneer Butter Masala;Shahi Paneer,345.41;351.55;306.07
Nov2023,week4,24/11/2023,Idli;Puri;Dosa,86.09;72.05;90.77,Rice;Sambar;Rajma,304.00;282.52;208.88,Roti;Chana Masala;Paneer Tikka,287.62;290.03;290.27
Nov2023,week4,25/11/2023,Idli;Chole Bhature;Puri,94.33;61.22;75.00,Rice;Rajma;Curd Rice,279.36;314.68;203.94,Roti;Bhindi Fry;Tandoori Roti,230.76;289.02;292.24
Nov2023,week4,26/11/2023,Aloo Paratha;Chole Bhature;Upma,44.04;62.84;72.94,Rice;Palak Paneer;Sambar,287.96;297.75;206.32,Roti;Aloo Gobi;Paneer Butter Masala,267.06;377.64;296.72
Nov2023,week4,27/11/2023,Samosa;Dosa;Idli,78.70;87.37;88.78,Rice;Rasam;Mixed Vegetables,257.46;275.14;212.44,Roti;Shahi Paneer;Tandoori Roti,365.60;307.98;303.30
Nov2023,week4,28/11/2023,Samosa;Dosa;Upma,75.41;92.13;72.65,Rice;Chole;Dal Tadka,246.49;231.75;212.02,Roti;Paneer Butter Masala;Bhindi Fry,351.13;246.71;301.85
Nov2023,week5,29/11/2023,Poha;Idli;Upma,61.82;88.12;76.48,Rice;Rasam;Sambar,274.62;311.23;210.48,Roti;Chana Masala;Shahi Paneer,307.28;356.48;290.67
Nov2023,week5,30/11/2023,Idli;Upma;Aloo Paratha,86.85;75.20;45.25,Rice;Rasam;Palak Paneer,262.93;308.96;217.71,Roti;Chana Masala;Paneer Butter Masala,306.35;365.35;290.11
Dec2023,week1,01/12/2023,Idli;Aloo Paratha;Samosa,94.26;46.87;74.80,Rice;Sambar;Mixed Vegetables,296.73;257.58;204.01,Roti;Bhindi Fry;Chana Masala,238.66;305.63;298.33
Dec2023,week1,02/12/2023,Puri;Medu Vada;Idli,78.01;61.13;93.90,Rice;Sambar;Rajma,305.03;272.65;205.60,Roti;Paneer Tikka;Shahi Paneer,288.00;343.30;303.34
Dec2023,week1,03/12/2023,Puri;Medu Vada;Dosa,75.58;61.97;91.58,Rice;Rasam;Dal Tadka,258.01;250.15;213.52,Roti;Paneer Butter Masala;Paneer Tikka,354.08;290.47;311.35
Dec2023,week1,04/12/2023,Samosa;Idli;Dosa,73.03;93.37;93.63,Rice;Chole;Sambar,243.20;291.47;214.15,Roti;Shahi Paneer;Tandoori Roti,375.08;302.10;312.32
Dec2023,week1,05/12/2023,Aloo Paratha;Poha;Puri,44.85;62.48;77.91,Rice;Palak Paneer;Curd Rice,289.39;311.03;203.54,Roti;Chana Masala;Tandoori Roti,300.43;310.58;313.84
Dec2023,week1,06/12/2023,Poha;Samosa;Medu Vada,58.68;74.71;62.56,Rice;Mixed Vegetables;Curd Rice,265.57;305.75;210.82,Roti;Paneer Tikka;Dal Makhani,290.78;323.81;298.56
Dec2023,week1,07/12/2023,Medu Vada;Dosa;Puri,60.48;85.51;71.56,Rice;Chole;Sambar,234.17;300.99;203.71,Roti;Shahi Paneer;Paneer Butter Masala,353.94;373.17;289.23
