Week,Date Range,Meal,Most Consumed Dishes (kg),Least Consumed Dishes (kg)
Dec2023_week1,01/12/2023-07/12/2023,Dinner,Roti: 2200.97; Shahi Paneer: 978.61; Paneer Tikka: 978.46,Dal Makhani: 298.56; Bhindi Fry: 305.63; Paneer Butter Masala: 579.70
Dec2023_week2,08/12/2023-14/12/2023,Breakfast,Dosa: 366.99; Idli: 273.50; Medu Vada: 243.94,Upma: 74.41; Aloo Paratha: 89.50; Poha: 123.64
Dec2023_week2,08/12/2023-14/12/2023,Lunch,Rice: 1922.08; Rajma: 754.22; Palak Paneer: 736.96,Rasam: 204.04; Mixed Vegetables: 208.06; Dal Tadka: 285.91
Dec2023_week2,08/12/2023-14/12/2023,Dinner,Roti: 2080.77; Bhindi Fry: 1020.51; Dal Makhani: 959.72,Paneer Tikka: 228.42; Aloo Gobi: 350.14; Shahi Paneer: 929.45
Dec2023_week3,15/12/2023-21/12/2023,Breakfast,Puri: 381.26; Dosa: 274.68; Idli: 271.32,Aloo Paratha: 44.43; Medu Vada: 61.11; Upma: 76.34
Dec2023_week3,15/12/2023-21/12/2023,Lunch,Rice: 1862.48; Rasam: 1355.44; Sambar: 677.99,Rajma: 214.56; Chole: 220.43; Dal Tadka: 266.63
Dec2023_week3,15/12/2023-21/12/2023,Dinner,Roti: 2232.65; Dal Makhani: 984.79; Bhindi Fry: 901.57,Shahi Paneer: 231.75; Chana Masala: 242.83; Aloo Gobi: 364.58
Dec2023_week4,22/12/2023-28/12/2023,Breakfast,Dosa: 154.06; Samosa: 74.63; Medu Vada: 60.55,Aloo Paratha: 14.72; Poha: 19.74; Chole Bhature: 40.03
Dec2023_week4,22/12/2023-28/12/2023,Lunch,Rice: 635.30; Dal Tadka: 253.04; Mixed Vegetables: 237.77,Rasam: 79.57; Sambar: 83.04; Palak Paneer: 85.53
Dec2023_week4,22/12/2023-28/12/2023,Dinner,Roti: 717.05; Aloo Gobi: 500.14; Dal Makhani: 221.97,Paneer Tikka: 101.19; Paneer Butter Masala: 167.01; Bhindi Fry: 199.52
Dec2023_week5,29/12/2023-31/12/2023,Breakfast,Aloo Paratha: 45.04; Dosa: 29.97; Idli: 29.19,Chole Bhature: 19.42; Poha: 20.05; Upma: 24.46
Dec2023_week5,29/12/2023-31/12/2023,Lunch,Rice: 267.17; Palak Paneer: 142.98; Rasam: 102.81,Mixed Vegetables: 71.93; Curd Rice: 88.71; Chole: 95.48
Dec2023_week5,29/12/2023-31/12/2023,Dinner,Roti: 311.40; Paneer Tikka: 210.90; Shahi Paneer: 199.91,Dal Makhani: 101.37; Chana Masala: 124.23; Shahi Paneer: 199.91
Jan2024_week1,01/01/2024-07/01/2024,Breakfast,Puri: 245.61; Poha: 158.14; Upma: 122.39,Chole Bhature: 19.12; Medu Vada: 19.57; Aloo Paratha: 61.22
Jan2024_week1,01/01/2024-07/01/2024,Lunch,Rice: 1183.87; Palak Paneer: 651.53; Rasam: 500.02,Chole: 69.68; Sambar: 71.47; Curd Rice: 77.00
Jan2024_week1,01/01/2024-07/01/2024,Dinner,Roti: 1270.55; Bhindi Fry: 609.11; Chana Masala: 500.80,Aloo Gobi: 79.07; Shahi Paneer: 103.95; Paneer Tikka: 288.25
Jan2024_week2,08/01/2024-14/01/2024,Breakfast,Poha: 243.71; Upma: 221.74; Puri: 216.52,Medu Vada: 62.86; Aloo Paratha: 136.78; Samosa: 150.56
Jan2024_week2,08/01/2024-14/01/2024,Lunch,Rice: 1931.15; Chole: 690.71; Rajma: 515.46,Dal Tadka: 219.64; Palak Paneer: 230.78; Mixed Vegetables: 249.28
Jan2024_week2,08/01/2024-14/01/2024,Dinner,Roti: 2158.89; Aloo Gobi: 899.27; Chana Masala: 693.74,Paneer Tikka: 276.13; Bhindi Fry: 293.52; Paneer Butter Masala: 299.23
Jan2024_week3,15/01/2024-21/01/2024,Breakfast,Samosa: 298.77; Idli: 269.12; Puri: 231.55,Upma: 77.81; Dosa: 92.93; Medu Vada: 176.37
Jan2024_week3,15/01/2024-21/01/2024,Lunch,Rice: 1957.58; Palak Paneer: 754.84; Mixed Vegetables: 754.78,Rasam: 201.22; Curd Rice: 202.84; Sambar: 235.94
Jan2024_week3,15/01/2024-21/01/2024,Dinner,Roti: 2225.60; Tandoori Roti: 869.54; Dal Makhani: 846.77,Shahi Paneer: 302.07; Paneer Butter Masala: 324.62; Aloo Gobi: 542.64
Jan2024_week4,22/01/2024-28/01/2024,Breakfast,Upma: 301.23; Aloo Paratha: 182.97; Medu Vada: 180.22,Idli: 91.48; Dosa: 93.80; Poha: 121.13
Jan2024_week4,22/01/2024-28/01/2024,Lunch,Rice: 1918.24; Mixed Vegetables: 1369.65; Curd Rice: 773.37,Sambar: 216.42; Dal Tadka: 304.73; Rasam: 417.91
Jan2024_week4,22/01/2024-28/01/2024,Dinner,Roti: 2122.32; Tandoori Roti: 1599.98; Paneer Butter Masala: 892.56,Bhindi Fry: 299.02; Chana Masala: 311.80; Paneer Tikka: 608.58
Jan2024_week5,29/01/2024-31/01/2024,Breakfast,Medu Vada: 179.63; Samosa: 155.38; Upma: 73.43,Aloo Paratha: 45.76; Chole Bhature: 59.09; Poha: 59.79
Jan2024_week5,29/01/2024-31/01/2024,Lunch,Rice: 788.83; Chole: 297.76; Mixed Vegetables: 271.28,Palak Paneer: 201.34; Rajma: 205.62; Rasam: 207.23
Jan2024_week5,29/01/2024-31/01/2024,Dinner,Roti: 989.90; Paneer Tikka: 589.36; Tandoori Roti: 577.85,Dal Makhani: 294.68; Shahi Paneer: 311.48; Tandoori Roti: 577.85
Feb2024_week1,01/02/2024-07/02/2024,Breakfast,Puri: 307.48; Upma: 302.57; Samosa: 155.06,Dosa: 90.03; Idli: 93.45; Poha: 121.47
Feb2024_week1,01/02/2024-07/02/2024,Lunch,Rice: 1831.39; Dal Tadka: 1061.02; Rajma: 455.52,Palak Paneer: 209.81; Curd Rice: 267.69; Mixed Vegetables: 278.66
Feb2024_week1,01/02/2024-07/02/2024,Dinner,Roti: 2037.07; Bhindi Fry: 966.30; Shahi Paneer: 905.82,Chana Masala: 295.98; Tandoori Roti: 309.18; Dal Makhani: 570.83
Feb2024_week2,08/02/2024-14/02/2024,Breakfast,Samosa: 379.56; Dosa: 364.83; Medu Vada: 183.89,Puri: 77.15; Chole Bhature: 120.19; Poha: 120.70
Feb2024_week2,08/02/2024-14/02/2024,Lunch,Rice: 1888.77; Rajma: 761.76; Mixed Vegetables: 633.10,Rasam: 204.37; Palak Paneer: 277.22; Chole: 415.08
Feb2024_week2,08/02/2024-14/02/2024,Dinner,Roti: 2131.38; Chana Masala: 1276.61; Paneer Butter Masala: 905.72,Aloo Gobi: 293.71; Shahi Paneer: 294.37; Dal Makhani: 353.22
Feb2024_week3,15/02/2024-21/02/2024,Breakfast,Samosa: 225.59; Aloo Paratha: 223.96; Dosa: 179.33,Chole Bhature: 60.17; Upma: 71.93; Idli: 88.41
Feb2024_week3,15/02/2024-21/02/2024,Lunch,Rice: 1868.71; Curd Rice: 914.50; Mixed Vegetables: 802.10,Rasam: 217.97; Chole: 292.09; Palak Paneer: 305.01
Feb2024_week3,15/02/2024-21/02/2024,Dinner,Roti: 2184.34; Dal Makhani: 951.97; Paneer Tikka: 921.23,Aloo Gobi: 311.77; Bhindi Fry: 351.83; Chana Masala: 583.85
Feb2024_week4,22/02/2024-28/02/2024,Breakfast,Upma: 203.86; Chole Bhature: 140.51; Idli: 122.07,Dosa: 28.82; Aloo Paratha: 44.33; Medu Vada: 60.71
Feb2024_week4,22/02/2024-28/02/2024,Lunch,Rice: 1093.06; Dal Tadka: 654.25; Rajma: 453.12,Curd Rice: 218.30; Sambar: 229.82; Chole: 272.61
Feb2024_week4,22/02/2024-28/02/2024,Dinner,Roti: 1343.83; Chana Masala: 898.89; Tandoori Roti: 829.23,Paneer Butter Masala: 97.50; Dal Makhani: 100.03; Paneer Tikka: 125.64
Feb2024_week5,29/02/2024-29/02/2024,Breakfast,Dosa: 31.03; Chole Bhature: 20.26; Aloo Paratha: 15.08,Aloo Paratha: 15.08; Chole Bhature: 20.26; Dosa: 31.03
Feb2024_week5,29/02/2024-29/02/2024,Lunch,Chole: 99.81; Rice: 82.54; Palak Paneer: 70.18,Palak Paneer: 70.18; Rice: 82.54; Chole: 99.81
Feb2024_week5,29/02/2024-29/02/2024,Dinner,Roti: 101.33; Paneer Tikka: 100.43; Chana Masala: 99.09,Chana Masala: 99.09; Paneer Tikka: 100.43; Roti: 101.33
Mar2024_week1,01/03/2024-07/03/2024,Breakfast,Puri: 179.55; Chole Bhature: 162.69; Upma: 155.00,Medu Vada: 78.10; Idli: 88.96; Poha: 99.94
Mar2024_week1,01/03/2024-07/03/2024,Lunch,Rice: 1384.61; Palak Paneer: 480.88; Chole: 470.49,Curd Rice: 166.48; Sambar: 238.45; Rasam: 286.48
Mar2024_week1,01/03/2024-07/03/2024,Dinner,Roti: 1484.73; Bhindi Fry: 757.06; Paneer Butter Masala: 595.05,Chana Masala: 170.49; Tandoori Roti: 298.39; Paneer Tikka: 375.10
Mar2024_week2,08/03/2024-14/03/2024,Breakfast,Upma: 301.79; Dosa: 265.65; Samosa: 226.59,Idli: 85.74; Aloo Paratha: 88.83; Poha: 117.05
Mar2024_week2,08/03/2024-14/03/2024,Lunch,Rice: 1953.79; Curd Rice: 987.71; Chole: 729.40,Rasam: 218.06; Rajma: 430.30; Sambar: 471.02
Mar2024_week2,08/03/2024-14/03/2024,Dinner,Roti: 2259.19; Dal Makhani: 1172.58; Bhindi Fry: 880.82,Shahi Paneer: 241.11; Tandoori Roti: 312.71; Paneer Butter Masala: 340.40
Mar2024_week3,15/03/2024-21/03/2024,Breakfast,Idli: 366.75; Samosa: 294.99; Chole Bhature: 293.02,Medu Vada: 57.39; Poha: 61.49; Dosa: 87.79
Mar2024_week3,15/03/2024-21/03/2024,Lunch,Rice: 1810.99; Curd Rice: 964.78; Dal Tadka: 793.62,Rajma: 203.38; Palak Paneer: 208.70; Mixed Vegetables: 219.44
Mar2024_week3,15/03/2024-21/03/2024,Dinner,Roti: 1936.91; Bhindi Fry: 902.51; Aloo Gobi: 891.29,Shahi Paneer: 278.87; Chana Masala: 285.07; Paneer Butter Masala: 289.42
Mar2024_week4,22/03/2024-28/03/2024,Breakfast,Idli: 265.10; Puri: 228.17; Medu Vada: 184.22,Upma: 71.82; Dosa: 86.27; Chole Bhature: 118.56
Mar2024_week4,22/03/2024-28/03/2024,Lunch,Rice: 1918.20; Sambar: 626.42; Curd Rice: 530.98,Palak Paneer: 214.54; Chole: 277.69; Rasam: 311.51
Mar2024_week4,22/03/2024-28/03/2024,Dinner,Roti: 2165.05; Aloo Gobi: 1174.77; Tandoori Roti: 671.80,Shahi Paneer: 269.45; Bhindi Fry: 289.06; Chana Masala: 296.66
Mar2024_week5,29/03/2024-31/03/2024,Breakfast,Puri: 150.56; Aloo Paratha: 135.62; Chole Bhature: 119.46,Upma: 75.75; Idli: 87.00; Chole Bhature: 119.46
Mar2024_week5,29/03/2024-31/03/2024,Lunch,Rice: 822.87; Mixed Vegetables: 784.57; Curd Rice: 264.32,Rasam: 204.43; Sambar: 210.15; Curd Rice: 264.32
Mar2024_week5,29/03/2024-31/03/2024,Dinner,Roti: 937.17; Dal Makhani: 874.98; Paneer Butter Masala: 342.31,Chana Masala: 321.21; Paneer Tikka: 324.40; Paneer Butter Masala: 342.31
Apr2024_week1,01/04/2024-07/04/2024,Breakfast,Upma: 219.98; Idli: 186.19; Medu Vada: 184.38,Aloo Paratha: 92.88; Chole Bhature: 120.20; Samosa: 150.28
Apr2024_week1,01/04/2024-07/04/2024,Lunch,Rice: 1922.26; Sambar: 882.04; Chole: 880.36,Rajma: 216.69; Rasam: 436.04; Mixed Vegetables: 524.22
Apr2024_week1,01/04/2024-07/04/2024,Dinner,Roti: 2125.43; Chana Masala: 1155.23; Aloo Gobi: 968.40,Bhindi Fry: 302.39; Tandoori Roti: 561.21; Shahi Paneer: 610.96
Apr2024_week2,08/04/2024-14/04/2024,Breakfast,Idli: 274.98; Poha: 238.33; Upma: 219.65,Chole Bhature: 58.85; Medu Vada: 60.26; Samosa: 76.81
Apr2024_week2,08/04/2024-14/04/2024,Lunch,Rice: 1918.64; Mixed Vegetables: 715.91; Rajma: 689.20,Sambar: 215.36; Curd Rice: 264.68; Rasam: 276.13
Apr2024_week2,08/04/2024-14/04/2024,Dinner,Roti: 2089.49; Paneer Tikka: 1149.80; Bhindi Fry: 894.21,Paneer Butter Masala: 291.20; Chana Masala: 299.40; Shahi Paneer: 529.93
Apr2024_week3,15/04/2024-21/04/2024,Breakfast,Chole Bhature: 237.73; Puri: 223.66; Samosa: 222.76,Aloo Paratha: 86.91; Dosa: 89.88; Idli: 90.95
Apr2024_week3,15/04/2024-21/04/2024,Lunch,Rice: 1957.40; Rasam: 840.87; Sambar: 733.15,Chole: 205.93; Dal Tadka: 469.39; Rajma: 489.00
Apr2024_week3,15/04/2024-21/04/2024,Dinner,Roti: 2153.97; Aloo Gobi: 937.92; Paneer Tikka: 649.74,Paneer Butter Masala: 285.40; Tandoori Roti: 581.31; Shahi Paneer: 583.36
Apr2024_week4,22/04/2024-28/04/2024,Breakfast,Dosa: 356.16; Puri: 226.69; Poha: 183.38,Medu Vada: 60.95; Upma: 77.50; Chole Bhature: 118.90
Apr2024_week4,22/04/2024-28/04/2024,Lunch,Rice: 1891.87; Sambar: 897.29; Mixed Vegetables: 797.56,Palak Paneer: 497.40; Dal Tadka: 600.32; Rajma: 691.25
Apr2024_week4,22/04/2024-28/04/2024,Dinner,Roti: 2102.82; Dal Makhani: 1209.37; Paneer Tikka: 1202.73,Chana Masala: 313.94; Paneer Butter Masala: 337.18; Aloo Gobi: 610.00
Apr2024_week5,29/04/2024-30/04/2024,Breakfast,Upma: 150.57; Aloo Paratha: 90.23; Poha: 62.90,Medu Vada: 62.09; Poha: 62.90; Aloo Paratha: 90.23
Apr2024_week5,29/04/2024-30/04/2024,Lunch,Rice: 538.64; Chole: 297.85; Curd Rice: 265.75,Palak Paneer: 205.58; Rajma: 207.97; Curd Rice: 265.75
Apr2024_week5,29/04/2024-30/04/2024,Dinner,Roti: 628.17; Shahi Paneer: 580.98; Aloo Gobi: 375.74,Paneer Butter Masala: 373.58; Aloo Gobi: 375.74; Shahi Paneer: 580.98
May2024_week1,01/05/2024-07/05/2024,Breakfast,Upma: 228.65; Puri: 223.44; Medu Vada: 181.71,Aloo Paratha: 44.53; Poha: 118.81; Samosa: 146.96
May2024_week1,01/05/2024-07/05/2024,Lunch,Rice: 1931.38; Curd Rice: 776.73; Rajma: 721.07,Dal Tadka: 203.38; Rasam: 214.66; Palak Paneer: 464.73
May2024_week1,01/05/2024-07/05/2024,Dinner,Roti: 2344.59; Aloo Gobi: 900.61; Shahi Paneer: 871.50,Tandoori Roti: 297.42; Bhindi Fry: 303.67; Paneer Butter Masala: 551.67
May2024_week2,08/05/2024-14/05/2024,Breakfast,Idli: 360.28; Puri: 220.54; Chole Bhature: 182.67,Medu Vada: 59.06; Samosa: 75.98; Dosa: 88.71
May2024_week2,08/05/2024-14/05/2024,Lunch,Rice: 1960.50; Curd Rice: 664.15; Rasam: 595.36,Dal Tadka: 292.53; Chole: 425.64; Sambar: 428.25
May2024_week2,08/05/2024-14/05/2024,Dinner,Roti: 2175.87; Shahi Paneer: 1236.39; Tandoori Roti: 692.59,Paneer Tikka: 285.19; Chana Masala: 311.41; Paneer Butter Masala: 603.49
